연번,규제시행국,수입국 국제통일상품분류체계(HS_코드1),수입국 국제통일상품분류체계(HS_코드2),수입국 국제통일상품분류체계(HS_코드3),수입국 국제통일상품분류체계(HS_코드4),수입국 국제통일상품분류체계(HS_코드5),수입국 국제통일상품분류체계(HS_코드6),수입국 국제통일상품분류체계(HS_코드7),수입국 국제통일상품분류체계(HS_코드8),수입국 국제통일상품분류체계(HS_코드9),수입국 국제통일상품분류체계(HS_코드10),수입국 국제통일상품분류체계(HS_코드11),수입국 국제통일상품분류체계(HS_코드12),수입국 국제통일상품분류체계(HS_코드13),수입국 국제통일상품분류체계(HS_코드14),수입국 국제통일상품분류체계(HS_코드15),수입국 국제통일상품분류체계(HS_코드16),수입국 국제통일상품분류체계(HS_코드17),수입국 국제통일상품분류체계(HS_코드18),수입국 국제통일상품분류체계(HS_코드19),수입국 국제통일상품분류체계(HS_코드20),수입국 국제통일상품분류체계(HS_코드21),수입국 국제통일상품분류체계(HS_코드22),수입국 국제통일상품분류체계(HS_코드23),수입국 국제통일상품분류체계(HS_코드24),수입국 국제통일상품분류체계(HS_코드25),수입국 국제통일상품분류체계(HS_코드26),수입국 국제통일상품분류체계(HS_코드27),수입국 국제통일상품분류체계(HS_코드28),수입국 국제통일상품분류체계(HS_코드29),수입국 국제통일상품분류체계(HS_코드30),수입국 국제통일상품분류체계(HS_코드31),수입국 국제통일상품분류체계(HS_코드32),수입국 국제통일상품분류체계(HS_코드33),수입국 국제통일상품분류체계(HS_코드34),수입국 국제통일상품분류체계(HS_코드35),수입국 국제통일상품분류체계(HS_코드36),수입국 국제통일상품분류체계(HS_코드37),수입국 국제통일상품분류체계(HS_코드38),수입국 국제통일상품분류체계(HS_코드39),수입국 국제통일상품분류체계(HS_코드40),수입국 국제통일상품분류체계(HS_코드41),수입국 국제통일상품분류체계(HS_코드42),수입국 국제통일상품분류체계(HS_코드43),수입국 국제통일상품분류체계(HS_코드44),수입국 국제통일상품분류체계(HS_코드45),수입국 국제통일상품분류체계(HS_코드46),수입국 국제통일상품분류체계(HS_코드47),수입국 국제통일상품분류체계(HS_코드48),수입국 국제통일상품분류체계(HS_코드49),수입국 국제통일상품분류체계(HS_코드50),수입국 국제통일상품분류체계(HS_코드51),수입국 국제통일상품분류체계(HS_코드52),수입국 국제통일상품분류체계(HS_코드53),수입국 국제통일상품분류체계(HS_코드54),수입국 국제통일상품분류체계(HS_코드55),수입국 국제통일상품분류체계(HS_코드56),수입국 국제통일상품분류체계(HS_코드57),수입국 국제통일상품분류체계(HS_코드58),수입국 국제통일상품분류체계(HS_코드59),수입국 국제통일상품분류체계(HS_코드60),수입국 국제통일상품분류체계(HS_코드61),수입국 국제통일상품분류체계(HS_코드62),수입국 국제통일상품분류체계(HS_코드63),수입국 국제통일상품분류체계(HS_코드64),수입국 국제통일상품분류체계(HS_코드65),수입국 국제통일상품분류체계(HS_코드66),수입국 국제통일상품분류체계(HS_코드67),수입국 국제통일상품분류체계(HS_코드68),수입국 국제통일상품분류체계(HS_코드69),수입국 국제통일상품분류체계(HS_코드70),수입국 국제통일상품분류체계(HS_코드71),수입국 국제통일상품분류체계(HS_코드72),수입국 국제통일상품분류체계(HS_코드73),수입국 국제통일상품분류체계(HS_코드74),수입국 국제통일상품분류체계(HS_코드75),수입국 국제통일상품분류체계(HS_코드76),수입국 국제통일상품분류체계(HS_코드77),수입국 국제통일상품분류체계(HS_코드78),수입국 국제통일상품분류체계(HS_코드79),수입국 국제통일상품분류체계(HS_코드80),수입국 국제통일상품분류체계(HS_코드81),수입국 국제통일상품분류체계(HS_코드82),수입국 국제통일상품분류체계(HS_코드83),수입국 국제통일상품분류체계(HS_코드84),수입국 국제통일상품분류체계(HS_코드85),수입국 국제통일상품분류체계(HS_코드86),수입국 국제통일상품분류체계(HS_코드87),수입국 국제통일상품분류체계(HS_코드88),수입국 국제통일상품분류체계(HS_코드89),수입국 국제통일상품분류체계(HS_코드90),수입국 국제통일상품분류체계(HS_코드91),수입국 국제통일상품분류체계(HS_코드92),수입국 국제통일상품분류체계(HS_코드93),수입국 국제통일상품분류체계(HS_코드94),수입국 국제통일상품분류체계(HS_코드95),수입국 국제통일상품분류체계(HS_코드96),수입국 국제통일상품분류체계(HS_코드97),수입국 국제통일상품분류체계(HS_코드98),수입국 국제통일상품분류체계(HS_코드99),수입국 국제통일상품분류체계(HS_코드100),수입국 국제통일상품분류체계(HS_코드101),수입국 국제통일상품분류체계(HS_코드102),수입국 국제통일상품분류체계(HS_코드103),수입국 국제통일상품분류체계(HS_코드104),수입국 국제통일상품분류체계(HS_코드105),수입국 국제통일상품분류체계(HS_코드106),수입국 국제통일상품분류체계(HS_코드107),수입국 국제통일상품분류체계(HS_코드108),수입국 국제통일상품분류체계(HS_코드109),수입국 국제통일상품분류체계(HS_코드110),수입국 국제통일상품분류체계(HS_코드111),수입국 국제통일상품분류체계(HS_코드112),수입국 국제통일상품분류체계(HS_코드113),수입국 국제통일상품분류체계(HS_코드114),수입국 국제통일상품분류체계(HS_코드115),수입국 국제통일상품분류체계(HS_코드116),수입국 국제통일상품분류체계(HS_코드117),수입국 국제통일상품분류체계(HS_코드118),수입국 국제통일상품분류체계(HS_코드119),수입국 국제통일상품분류체계(HS_코드120),수입국 국제통일상품분류체계(HS_코드121),수입국 국제통일상품분류체계(HS_코드122),수입국 국제통일상품분류체계(HS_코드123),수입국 국제통일상품분류체계(HS_코드124),수입국 국제통일상품분류체계(HS_코드125),수입국 국제통일상품분류체계(HS_코드126),수입국 국제통일상품분류체계(HS_코드127),수입국 국제통일상품분류체계(HS_코드128),품목명,규제형태(진행상황),규제대상국 ,최종 판정결과(부과기간),최종 판정결과(관세율),한국대상여부
1463 ,ES,8708701015 ,8708701050 ,8708705015 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 로드휠셋 (특정)(Aluminium road wheels (certain),반덤핑(규제중),중국,ㅇ 부과기간 : 2017-01-24 ~ 2028-01-20,ㅇ 판정결과 : 22.3%,N
1464 ,ES,7604101011 ,7604109011 ,7604109025 ,7604109080 ,760421 ,76042910 ,76042990 ,7608100011 ,7608100080 ,76082081 ,76082089 ,7610909010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 압출(Aluminium extrusions),반덤핑(규제중),중국,ㅇ 부과기간 : 2021-03-31 ~ 2026-03-31,ㅇ 판정결과 : 21.2~32.1%,N
1465 ,ES,7607111960 ,7607111991 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 컨버터 호일 (Aluminium converter foil),반덤핑(규제중),중국,ㅇ 부과기간 : 2021-12-09 ~ 2026-12-09,ㅇ 판정결과 : 6%~28.5%,N
1466 ,ES,7607111960 ,7607111991 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 컨버터 호일(Aluminium converter foil),상계관세(규제중),중국,ㅇ 부과기간 : 2021-12-23 ~ 2026-12-23,"ㅇ 판정결과 : 8,6% ~ 18.2%",N
1467 ,ES,7606111025 ,7606111086 ,7606119125 ,7606119186 ,7606119325 ,7606119386 ,7606119925 ,7606119986 ,7606122025 ,7606122088 ,7606129225 ,7606129293 ,7606129386 ,7606129925 ,7606129986 ,7606910025 ,7606910086 ,7606920025 ,7606920092 ,7607119048 ,7607119051 ,7607119053 ,7607119065 ,7607119073 ,7607119075 ,7607119077 ,7607119091 ,7607119093 ,7607199075 ,7607199094 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 평판 압연 제품(Aluminium flat-rolled products),반덤핑(규제중),중국,ㅇ 부과기간 : 2021-10-12 ~ 2026-10-12,ㅇ 판정결과 : 14.3 ~ 24.6%,N
1468 ,ES,76071111 ,76071910 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 호일(소형)(Aluminium foils in small rolls),반덤핑(규제중),중국,ㅇ 부과기간 : 2019-06-05 ~ 2024-06-06,"ㅇ 판정결과 : 14.2 ~ 35.6% * 중국산 품목의 태국 우회덤핑 35.6% 적용  · TARIC 7607111111,7607191011* 일몰재심 진행 중 (2024.6.3~)",N
1469 ,ES,7303009010 ,7303001010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,연성 파이프(연성 주철 튜브 및 파이프)(Ductile pipes (tubes and pipes of ductile cast iron)),상계관세(규제중),인도,ㅇ 부과기간 : 2016-03-18 ~ 2027-06-17,ㅇ 판정결과 : 6.0 ~ 9.0% * 일몰재심 후 연장,N
1470 ,ES,7303009010 ,7303001010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,연성 파이프(연성 주철 튜브 및 파이프)(Ductile pipes (tubes and pipes of ductile cast iron)),반덤핑(규제중),인도,ㅇ 부과기간 : 2016-03-18 ~ 2027-06-17,ㅇ 판정결과 : 3 ~ 14.1%,N
1471 ,ES,720810 ,720825 ,720826 ,720827 ,720836 ,720837 ,720838 ,720839 ,720840 ,72085210 ,72085299 ,72085310 ,72085390 ,720854 ,721113 ,721114 ,721119 ,7225191090 ,72253090 ,7225406090 ,72254090 ,7226191090 ,72269191 ,72269199 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,열연 평판 제품(HRFS)(Hot rolled flat products (HRFS)),반덤핑(규제중),튀르키예,ㅇ 부과기간 : 2021-07-08 ~ 2026-07-07,ㅇ 판정결과 : 4.7 ~ 7.3%,N
1472 ,ES,4412131010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,오쿠메 목재합판 (Okoume plywood),반덤핑(규제중),중국,ㅇ 부과기간 : 2017-04-06 ~ 2028-06-15,ㅇ 판정결과 : 6.5 ~ 66.7%,N
1473 ,ES,2917110091 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,옥살산(Oxalic acid),반덤핑(규제중),"중국, 인도",ㅇ 부과기간 : 2018-07-02 ~ 2029-09-07,ㅇ 판정결과   ·  중국 : 14.6 ~ 52.2%  ·  인도 : 22.8 ~ 43.6% * 2024.9.6: 일몰재심 결과 규제 연장 발표 ,N
1474 ,ES,31028000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,우레아 질산 암모늄 (Urea and ammonium nitrate (UAN)),반덤핑(규제중),"러시아, 미국, 트리니다드토바고",ㅇ 부과기간 : 2019-10-09 ~ 2024-10-10,"ㅇ 판정결과   ·  러시아 : 27.77 ~ 42,47%  ·  미국 : 29.48%  ·  트리니다드 토바고 : 22.24%* 일몰재심 진행 중(2024.10.8~)",N
1475 ,ES,7210708011 ,7210708091 ,7212408001 ,7212408021 ,7212408091 ,7225990011 ,7225990091 ,7226997011 ,7226997091 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유기피복강판(특정)(Organic coated steel products (certain)),반덤핑(규제중),중국,ㅇ 부과기간 : 2019-05-03 ~ 2024-05-04,ㅇ 판정결과 : 0 ~ 26.1%* 일몰재심 진행 중 (2024.4.30~),N
