연번,규제시행국,수입국 국제통일상품분류체계(HS_코드1),수입국 국제통일상품분류체계(HS_코드2),수입국 국제통일상품분류체계(HS_코드3),수입국 국제통일상품분류체계(HS_코드4),수입국 국제통일상품분류체계(HS_코드5),수입국 국제통일상품분류체계(HS_코드6),수입국 국제통일상품분류체계(HS_코드7),수입국 국제통일상품분류체계(HS_코드8),수입국 국제통일상품분류체계(HS_코드9),수입국 국제통일상품분류체계(HS_코드10),수입국 국제통일상품분류체계(HS_코드11),수입국 국제통일상품분류체계(HS_코드12),수입국 국제통일상품분류체계(HS_코드13),수입국 국제통일상품분류체계(HS_코드14),수입국 국제통일상품분류체계(HS_코드15),수입국 국제통일상품분류체계(HS_코드16),수입국 국제통일상품분류체계(HS_코드17),수입국 국제통일상품분류체계(HS_코드18),수입국 국제통일상품분류체계(HS_코드19),수입국 국제통일상품분류체계(HS_코드20),수입국 국제통일상품분류체계(HS_코드21),수입국 국제통일상품분류체계(HS_코드22),수입국 국제통일상품분류체계(HS_코드23),수입국 국제통일상품분류체계(HS_코드24),수입국 국제통일상품분류체계(HS_코드25),수입국 국제통일상품분류체계(HS_코드26),수입국 국제통일상품분류체계(HS_코드27),수입국 국제통일상품분류체계(HS_코드28),수입국 국제통일상품분류체계(HS_코드29),수입국 국제통일상품분류체계(HS_코드30),수입국 국제통일상품분류체계(HS_코드31),수입국 국제통일상품분류체계(HS_코드32),수입국 국제통일상품분류체계(HS_코드33),수입국 국제통일상품분류체계(HS_코드34),수입국 국제통일상품분류체계(HS_코드35),수입국 국제통일상품분류체계(HS_코드36),수입국 국제통일상품분류체계(HS_코드37),수입국 국제통일상품분류체계(HS_코드38),수입국 국제통일상품분류체계(HS_코드39),수입국 국제통일상품분류체계(HS_코드40),수입국 국제통일상품분류체계(HS_코드41),수입국 국제통일상품분류체계(HS_코드42),수입국 국제통일상품분류체계(HS_코드43),수입국 국제통일상품분류체계(HS_코드44),수입국 국제통일상품분류체계(HS_코드45),수입국 국제통일상품분류체계(HS_코드46),수입국 국제통일상품분류체계(HS_코드47),수입국 국제통일상품분류체계(HS_코드48),수입국 국제통일상품분류체계(HS_코드49),수입국 국제통일상품분류체계(HS_코드50),수입국 국제통일상품분류체계(HS_코드51),수입국 국제통일상품분류체계(HS_코드52),수입국 국제통일상품분류체계(HS_코드53),수입국 국제통일상품분류체계(HS_코드54),수입국 국제통일상품분류체계(HS_코드55),수입국 국제통일상품분류체계(HS_코드56),수입국 국제통일상품분류체계(HS_코드57),수입국 국제통일상품분류체계(HS_코드58),수입국 국제통일상품분류체계(HS_코드59),수입국 국제통일상품분류체계(HS_코드60),수입국 국제통일상품분류체계(HS_코드61),수입국 국제통일상품분류체계(HS_코드62),수입국 국제통일상품분류체계(HS_코드63),수입국 국제통일상품분류체계(HS_코드64),수입국 국제통일상품분류체계(HS_코드65),수입국 국제통일상품분류체계(HS_코드66),수입국 국제통일상품분류체계(HS_코드67),수입국 국제통일상품분류체계(HS_코드68),수입국 국제통일상품분류체계(HS_코드69),수입국 국제통일상품분류체계(HS_코드70),수입국 국제통일상품분류체계(HS_코드71),수입국 국제통일상품분류체계(HS_코드72),수입국 국제통일상품분류체계(HS_코드73),수입국 국제통일상품분류체계(HS_코드74),수입국 국제통일상품분류체계(HS_코드75),수입국 국제통일상품분류체계(HS_코드76),수입국 국제통일상품분류체계(HS_코드77),수입국 국제통일상품분류체계(HS_코드78),수입국 국제통일상품분류체계(HS_코드79),수입국 국제통일상품분류체계(HS_코드80),수입국 국제통일상품분류체계(HS_코드81),수입국 국제통일상품분류체계(HS_코드82),수입국 국제통일상품분류체계(HS_코드83),수입국 국제통일상품분류체계(HS_코드84),수입국 국제통일상품분류체계(HS_코드85),수입국 국제통일상품분류체계(HS_코드86),수입국 국제통일상품분류체계(HS_코드87),수입국 국제통일상품분류체계(HS_코드88),수입국 국제통일상품분류체계(HS_코드89),수입국 국제통일상품분류체계(HS_코드90),수입국 국제통일상품분류체계(HS_코드91),수입국 국제통일상품분류체계(HS_코드92),수입국 국제통일상품분류체계(HS_코드93),수입국 국제통일상품분류체계(HS_코드94),수입국 국제통일상품분류체계(HS_코드95),수입국 국제통일상품분류체계(HS_코드96),수입국 국제통일상품분류체계(HS_코드97),수입국 국제통일상품분류체계(HS_코드98),수입국 국제통일상품분류체계(HS_코드99),수입국 국제통일상품분류체계(HS_코드100),수입국 국제통일상품분류체계(HS_코드101),수입국 국제통일상품분류체계(HS_코드102),수입국 국제통일상품분류체계(HS_코드103),수입국 국제통일상품분류체계(HS_코드104),수입국 국제통일상품분류체계(HS_코드105),수입국 국제통일상품분류체계(HS_코드106),수입국 국제통일상품분류체계(HS_코드107),수입국 국제통일상품분류체계(HS_코드108),수입국 국제통일상품분류체계(HS_코드109),수입국 국제통일상품분류체계(HS_코드110),수입국 국제통일상품분류체계(HS_코드111),수입국 국제통일상품분류체계(HS_코드112),수입국 국제통일상품분류체계(HS_코드113),수입국 국제통일상품분류체계(HS_코드114),수입국 국제통일상품분류체계(HS_코드115),수입국 국제통일상품분류체계(HS_코드116),수입국 국제통일상품분류체계(HS_코드117),수입국 국제통일상품분류체계(HS_코드118),수입국 국제통일상품분류체계(HS_코드119),수입국 국제통일상품분류체계(HS_코드120),수입국 국제통일상품분류체계(HS_코드121),수입국 국제통일상품분류체계(HS_코드122),수입국 국제통일상품분류체계(HS_코드123),수입국 국제통일상품분류체계(HS_코드124),수입국 국제통일상품분류체계(HS_코드125),수입국 국제통일상품분류체계(HS_코드126),수입국 국제통일상품분류체계(HS_코드127),수입국 국제통일상품분류체계(HS_코드128),품목명,규제형태(진행상황),규제대상국 ,최종 판정결과(부과기간),최종 판정결과(관세율),한국대상여부
1 ,AE,6907 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"세라믹 제품(Ceramic flags and paving, hearth, floor, or wall tiles; whether or not on a backing; finishing ceramics)",반덤핑(규제중),"중국, 인도",ㅇ 부과기간 : 2020-06-06 ~ 2025-06-05,ㅇ 판정결과  ·  중국 : 23.5% ~ 76%  ·  인도 : 17.6% ~ 106%,N
2 ,AE,85071000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,납축전지(자동차배터리)(Electric lead-acid accumulators)(Automotive batteries of capacity from 35 to 115 ambers),반덤핑(규제중),한국,ㅇ 부과기간 : 2017-06-25 ~ 2028-04-22,ㅇ 판정결과 : 12 ~ 25%* 2023.4.11일 일몰재심 최종판정: 규제 5년 연장 결정,Y
3 ,AE,76061200 ,76069200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"알루미늄 합금(Plates, Sheets, and Strip of Aluminum Alloys)",반덤핑(규제중),중국,ㅇ 부과기간 : 2021-07-22 ~ 2026-07-21,ㅇ 판정결과 : 33%,N
4 ,AE,390690 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,고흡수성 수지(Super absorbent polymers),반덤핑(규제중),"중국, 벨기에, 싱가포르, 한국, 프랑스",ㅇ 부과기간 : 2023-03-04 ~ 2028-03-03,ㅇ 판정결과  ·  중국 : 6~27.7%  ·  벨기에 : 8.3~40.7%  ·  싱가포르 : 13.6~21.2%  ·  프랑스 : 51%  ·  한국 : 124%,Y
5 ,AE,85071000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"분리기를 포함하는 축전기(Electric accumulators including separators, whether or not rectangular (including square) lead acid of kind used for starting piston engines, from 32 to 225 amperes)",반덤핑(규제중),"인도, 튀르키예",ㅇ 부과기간 : 2022-10-01 ~ 2027-09-30,ㅇ 판정결과  · 인도 : 8~41%  · 튀르키예 : 39%,N
6 ,AE,39269061 ,59031000 ,39211200 ,39219040 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVC 코팅 직물(Textiles or Fabrics coated by PVC),반덤핑(규제중),"한국, 중국",ㅇ 부과기간 : 2024-12-17 ~ 2029-12-16,ㅇ 판정결과  · 한국 : 26.83% ~ 41.84%  · 중국 : 25.56% ~ 51%* GCC가 아닌 사우디 단독조치임,Y
7 ,AE,69109000 ,69101000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"욕조, 비데, 세면대 등 도자제의 목욕용품(Ceramic Sinks-Wash Basins, Wash Basin Pedestals, Baths, Bidets, Water Closet Pans, Flushing Cisterns, Urinals and Similar Sanitary Fixtures)",반덤핑(조사중),"중국, 인도",ㅇ 조사개시일 : 2023-08-13,,N
8 ,AE,853650 ,853669 ,85444291 ,85444221 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000볼트 이하의 전기 접속자, 스위치, 소켓, 플러그(Electrical Connectors, Switches, Sockets and Plugs for a Voltage not exceeding 1000)",반덤핑(규제중),중국,ㅇ 부과기간 : 2024-08-20 ~ 2029-09-25,ㅇ 판정결과 : 11.3~42%,N
9 ,AE,2523 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,시멘트(All types of cement including Clinker),반덤핑(규제중),이란,ㅇ 부과기간 : 2020-06-20 ~ 2025-06-19,ㅇ 판정결과 : 67.5%,N
10 ,AE,85071000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"납축전지(Electric accumulators, including separators, therefore whether ornot rectangle (including Square) lead acid of kind used for starting piston engines)",반덤핑(조사중),"중국, 말레이시아",ㅇ 조사개시일 : 2024-08-14,,N
11 ,AE,76061230 ,76061220 ,76061210​,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"알루미늄 판재 및 스트립 등(Painted and/orcoated, Flattened or grained Aluminum Alloys Plates, sheets, strips or coils, of aThickness of 0.2 mm but not exceeding 8 mm (rectangular or square in Shape))",반덤핑(조사중),중국,ㅇ 조사개시일 : 2023-11-16,,N
12 ,AE,730611 ,730621 ,730640 ,730650 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인리스강 파이프 (Longitudinally Welded Circular Cross-Section Pipes of Stainless Steel),반덤핑(조사중),"중국, 대만",ㅇ 조사개시일 : 2024-05-02,,N
13 ,AE,320611 ,282300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,이산화티타늄(Titanium Dioxide (TiO​​2)),반덤핑(조사중),중국,ㅇ 조사개시일 : 2024-10-09,* GCC가 아닌 사우디정부 단독 조사,N
14 ,AE,700510 ,700521 ,700529 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"철사 삽입이 없는 플로트 유리 및 흡수층이 있는 연마 또는 광택 유리(Non-wired float glass and surface ground or polished glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked)",반덤핑(조사중),"중국, 이란",ㅇ 조사개시일 : 2024-10-28,,N
15 ,AE,290410 ,382440 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,설폰화 나프탈렌 포름알데히드(Sulphonated Naphthalene Formaldehyde (SNF)),반덤핑(규제중),"중국, 러시아",ㅇ 부과기간 : 2024-12-17 ~ 2029-12-16,ㅇ 판정결과  · 러시아 : 28.77%  · 중국 : 18.12% ~ 34%* GCC가 아닌 사우디 단독조치임,N
16 ,AM,8429110090 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,궤도차량용 불도저(Crawler Bulldozers),반덤핑(규제중),중국,ㅇ 부과기간 : 2015-12-12 ~ 2026-06-28,ㅇ 판정결과 : 9.65 ~ 44.65%,N
17 ,AM,7202300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,규소철 망간(Ferrosilicon manganese),반덤핑(규제중),우크라이나,ㅇ 부과기간 : 2016-10-28 ~ 2027-12-05,ㅇ 판정결과 : 26.35%,N
18 ,AM,7304410005 ,7304410008 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,냉간 스테인리스 철강 심리스 파이프 및 튜브(Cold-worked seamless pipes and tubes of stainless steel),반덤핑(규제중),"중국, 말레이시아",ㅇ 부과기간 : 2013-05-15 ~ 2029-01-22,ㅇ 판정결과  ·  중국 : 29.39%   ·  말레이시아  : 29.39%* 일몰재심후 규제 연장,N
19 ,AM,8482101001 ,8482101002 ,8482101009 ,8482109001 ,8482109002 ,8482109003 ,8482109008 ,8482200001 ,8482200002 ,8482200009 ,8482300001 ,8482300009 ,8482500001 ,8482500002 ,8482500009 ,8482800001 ,8482800002 ,8482800009 ,8482911000 ,8482919000 ,8482990000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,롤러베어링(Rolling-element bearings (excl. needle roller bearings),반덤핑(규제중),중국,ㅇ 부과기간 : 2018-09-23 ~ 2029-03-31,ㅇ 판정결과 : 31.3 ~ 41.5%* 일몰재심후 규제 연장,N
20 ,AM,2933610000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,멜라민(Melamine),반덤핑(규제중),중국,ㅇ 부과기간 : 2022-04-05 ~ 2027-04-04,ㅇ 판정결과 : 15.22 ~ 19.08%,N
21 ,AM,4011201000 ,4011209000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상업용 자동차 타이어(commercial vehicle tyres)/트럭용 타이어 (new pneumatic tyres rubber for trucks),반덤핑(규제중),중국,ㅇ 부과기간 : 2015-12-18 ~ 2026-06-28 ,ㅇ 판정결과 : 14.79 ~ 35.35%*  2022.3.9일 재조사 개시(2022.4.1일에도 중국산 트럭용 타이어 총수입 재조사 개시),N
22 ,AM,3901209009 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,순수고밀도폴리에틸렌(Virgin high-density polyethylene),반덤핑(규제중),우즈베키스탄,ㅇ 부과기간 : 2022-02-25 ~ 2027-02-24 ,ㅇ 판정결과 : 20.3%,N
23 ,AM,8211910001 ,8215991000 ,8215201000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인레스 철강 식기류(Stainless steel flatware),반덤핑(규제중),중국,ㅇ 부과기간 : 2015-06-19 ~ 2025-11-30,ㅇ 판정결과 : 15.41 ~ 27.16%,N
24 ,AM,7304410001 ,7304410005 ,7304410008 ,7304491000 ,7304499301 ,7304499309 ,7304499501 ,7304499509 ,7304499900 ,7304900001 ,7304900009 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인리스 철강 심리스 파이프 및 튜브(Seamless pipes and tubes of stainless steel),반덤핑(규제중),우크라이나,ㅇ 부과기간 : 2016-02-26 ~ 2026-09-06,ㅇ 판정결과 : 4.32 ~ 18.96%,N
25 ,AM,7306402009 ,7306408001 ,7306408008 ,7306611009 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인리스 철강 용접튜브(Welded tubes of stainless steel),반덤핑(규제중),중국,ㅇ 부과기간 : 2021-03-14 ~ 2026-03-13,ㅇ 판정결과 : 14.62%~17.28%,N
26 ,AM,7304220001 ,7304220002 ,7304220009 ,7304230001 ,7304230002 ,7304230009 ,7304240001 ,7304240002 ,7304240003 ,7304240004 ,7304240005 ,7304240006 ,7304240009 ,7304291001 ,7304291002 ,7304291003 ,7304291009 ,7304293001 ,7304293002 ,7304293003 ,7304293004 ,7304293009 ,7304299001 ,7304299009 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,심리스 철강 OCTG(Seamless steel OCTG),반덤핑(규제중),중국,ㅇ 부과기간 : 2015-09-23 ~ 2026-04-26,ㅇ 판정결과 : 12.23 ~ 31%,N
27 ,AM,7210490001 ,7210490009 ,7210610000 ,7212300000 ,7212506100 ,7​2259​20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아연 코팅 활면철강제품(Zinc coated or plated flat rolled steel products),반덤핑(규제중),"우크라이나, 중국",ㅇ 부과기간 : 2020-01-05 ~ 2025-09-01 ,ㅇ 판정결과  ·  우크라이나 : 23.90%  ·  중국 : 12.69 ~ 17%,N
28 ,AM,7606119100 ,7606122003 ,7606122008 ,7606129203 ,7606129208 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 스트립(Aluminium strip),반덤핑(규제중),"아제르바이잔, 중국",ㅇ 부과기간 : 2020-10-24 ~ 2025-10-23,ㅇ 판정결과  ·  아제르바이잔: 16.18%  ·  중국: 13.14%,N
29 ,AM,7615101000 ,7615108009 ,7616991008 ,7616999008 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 조리기구(Aluminium cookware),반덤핑(규제중),중국,ㅇ 부과기간 : 2021-09-25 ~ 2026-09-24,ㅇ 판정결과 : 21.89%,N
30 ,AM,8708705001 ,8708705009 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 합금 바퀴(Aluminium alloy wheels),반덤핑(규제중),중국,ㅇ 부과기간 : 2019-04-28 ~ 2029-11-18,ㅇ 판정결과 : 33.69%,N
31 ,AM,7304491000 ,7304499301 ,7304499309 ,7304499501 ,7304499509 ,7304499900 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"열가공 스테인리스 철강 심리스 파이프 및 튜브, 외경: 650 mm 까지 (Hot-worked seamless pipes and tubes of stainless steel, out-to-out diameter: 650 mm at most)",반덤핑(규제중),중국,ㅇ 부과기간 : 2020-02-01 ~ 2025-09-24,ㅇ 판정결과 : 15.5%,N
32 ,AM,7304 ,7305 ,7306 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"철강 파이프 및 튜브(Certain Steel pipes and tubes: casing pipes; pump/compressor pipes; oil pipes (up to 820 mm in diameter), gas pipes (820 mm in diameter) and general-purpose hot-rolled pipes (up to 820 mm in diameter)",반덤핑(규제중),우크라이나,ㅇ 부과기간 : 2011-10-01 ~ 2026-12-20,ㅇ 판정결과 : 18.9 ~ 37.8%,N
33 ,AM,732010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,판용수철(Leaf-springs),반덤핑(규제중),중국,ㅇ 부과기간 : 2021-03-21 ~ 2026-03-20,ㅇ 판정결과 : 14.11%,N
34 ,AM,7210 ,7212 ,7225 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,폴리메르 코팅 냉연철강제품(Cold-rolled flat steel products with polymer coating),반덤핑(규제중),중국,ㅇ 부과기간 : 2012-07-01 ~ 2028-07-17,ㅇ 판정결과 : 6.98 ~ 20.20%* 일몰재심후 규제 연장,N
35 ,AM,8545110089 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,흑연전극(Graphite electrodes with a diameter of 520 mm or less),반덤핑(규제중),중국,ㅇ 부과기간 : 2022-10-01 ~ 2027-09-30,ㅇ 판정결과 : 14.04 ~ 28.20%,N
36 ,AM,8545110020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,흑연전극(Graphite electrodes),반덤핑(규제중),인도,ㅇ 부과기간 : 2018-10-28 ~ 2029-03-31,ㅇ 판정결과 : 16.04 ~ 32.83%* 일몰재심후 규제 연장,N
37 ,AM,7202300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,규소철 망간(Ferrosilicon manganese),반덤핑(규제중),그루지야,ㅇ 부과기간 : 2023-01-22 ~ 2028-01-21,ㅇ 판정결과 : 21.40 ~ 24.22%,N
38 ,AM,8481806310 ,8481806320 ,8481806390 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,강철의 쐐기 게이트 밸브 (Wedge gate valve of steel; diameter range: from 50 mm to 1000 mm; nominal pressure range: from 16  kp/cm2 to 250 kp/cm2),반덤핑(규제중),중국,ㅇ 부과기간 : 2023-01-22 ~ 2028-01-21,ㅇ 판정결과 : 25.57 ~ 36.23%,N
39 ,AM,8708705009 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합금 휠(Alloy wheels),반덤핑(규제중),"일본, 튀르키예, 말레이시아, 태국",ㅇ 부과기간 : 2025-03-22 ~ 2030-03-21,ㅇ 판정결과  ·  태국: 42.82%  ·  일본: 36.54%   ·  튀르기예: 35.29%  ·  말레이시아: 9.38%,N
40 ,AM,7607111109 ,7607111909 ,7607119000 ,7607191000 ,7607199009 ,7607201000 ,7607209000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 박(Aluminium foil),반덤핑(조사중),중국,ㅇ 조사개시일 : 2024-03-28,,N
