수출입 통계,,,,,,,
수출 지역 순위,국가명,조회기준,수출금액 (단위:$),수입금액 (단위:$),수출 점유율,수입 점유율,품목 HS CODE
93,스리랑카,2026,55281088,28743825,0.025151938,0.016966394,전체
94,탄자니아,2026,52979378,12592964,0.0241047,0.007433151,전체
95,에스토니아,2026,52547216,18813489,0.023908074,0.011104892,전체
96,코스타리카,2026,46117010,53667912,0.020982441,0.031678141,전체
97,세르비아,2026,44825833,28995300,0.020394978,0.01711483,전체
98,아제르바이잔,2026,44593350,43191,0.020289202,0.000025494,전체
99,온두라스,2026,44482312,9666052,0.020238682,0.005705505,전체
100,케냐,2026,44127748,5069002,0.020077361,0.00299204,전체
101,튀니지,2026,42572178,45533985,0.019369604,0.026876991,전체
102,조지아,2026,41023787,4350861,0.018665113,0.002568149,전체
103,파라과이,2026,40273015,1673350,0.018323525,0.000987715,전체
104,우루과이,2026,37441490,55984786,0.01703523,0.033045704,전체
105,세네갈,2026,33811354,4783270,0.015383581,0.002823384,전체
106,레바논,2026,25868058,4451536,0.011769519,0.002627574,전체
107,라오스,2026,25513338,22537549,0.011608127,0.013303064,전체
108,기타국,2026,24629444,17672774,0.011205971,0.010431571,전체
109,폴리네시아(프),2026,24525695,161572,0.011158767,9.53698E-05,전체
110,크로아티아,2026,23466592,6345680,0.010676893,0.003745615,전체
111,벨라루스,2026,23265496,4314537,0.010585398,0.002546708,전체
112,모잠비크,2026,23112770,122881956,0.01051591,0.072532576,전체
113,몰다비아,2026,20363275,9559967,0.009264938,0.005642887,전체
114,트리니다드토바고,2026,19473840,14806916,0.00886026,0.008739963,전체
115,룩셈부르크,2026,18321542,37568165,0.008335984,0.022175068,전체
116,수단,2026,18079931,71,0.008226056,4.19E-08,전체
117,아이슬란드,2026,17684092,8544870,0.008045956,0.005043714,전체
118,이란,2026,17459151,2991215,0.007943611,0.001765601,전체
119,바레인,2026,17029005,252462588,0.007747902,0.149019127,전체
120,사모아 (서사모아),2026,14365529,306063,0.006536067,0.000180657,전체
121,베네수엘라,2026,13896434,1735807,0.006322637,0.001024581,전체
122,라트비아,2026,13603197,23059081,0.006189219,0.013610904,전체
123,키프로스,2026,13296473,1824200,0.006049665,0.001076756,전체
124,짐바브웨,2026,12715934,4533921,0.00578553,0.002676202,전체
125,볼리비아,2026,12601139,197220224,0.0057333,0.116411647,전체
126,니카라과,2026,12369433,4941420,0.005627878,0.002916734,전체
127,베냉,2026,12313128,3503,0.00560226,2.0677E-06,전체
128,아프가니스탄,2026,12061947,484824,0.005487977,0.000286173,전체
129,가이아나,2026,11347615,1266786,0.005162968,0.000747736,전체
130,부르키나파소,2026,11217920,538,0.005103959,3.176E-07,전체
131,레유니온,2026,10611192,2445,0.004827909,1.4432E-06,전체
132,아르메니아,2026,9675968,5327186,0.004402398,0.003144437,전체
133,기니,2026,9251752,9945838,0.004209387,0.005870652,전체
134,잠비아,2026,9028715,75194796,0.004107909,0.044384647,전체
135,마다가스카르,2026,8793182,16798616,0.004000746,0.009915588,전체
136,콩고,2026,8789552,710298,0.003999094,0.000419262,전체
137,네팔,2026,8636906,1650537,0.003929643,0.00097425,전체
138,예멘,2026,8573919,7233272,0.003900985,0.004269527,전체
139,팔레스타인,2026,7658227,292342,0.003484361,0.000172558,전체
140,아이티,2026,6653527,262379,0.00302724,0.000154872,전체
141,토고,2026,6518029,2097885,0.00296559,0.001238302,전체
142,모리셔스,2026,6457771,691711,0.002938174,0.000408291,전체
143,그레나다,2026,6364333,0,0.002895661,0,전체
144,카메룬,2026,6235732,669029,0.00283715,0.000394903,전체
145,세이셸,2026,5645534,536973,0.00256862,0.000316955,전체
146,마카오,2026,5331997,1048183,0.002425966,0.000618703,전체
147,우간다,2026,5211405,7066369,0.002371099,0.004171011,전체
148,니제르,2026,5038292,8980,0.002292336,5.3006E-06,전체
149,콩고민주공화국,2026,5037898,474316570,0.002292156,0.27997115,전체
150,브루나이,2026,4937377,132620783,0.002246421,0.078281037,전체
151,가봉,2026,4783096,4741570,0.002176226,0.00279877,전체
152,북마리아나제도,2026,4672875,470570,0.002126077,0.00027776,전체
153,,2026,4369447,21497,0.001988023,1.26889E-05,전체
154,미국령사모아,2026,4306030,159781,0.001959169,9.43127E-05,전체
155,르완다,2026,4234453,1528465,0.001926603,0.000902195,전체
156,투르크메니스탄,2026,3781881,172746,0.00172069,0.000101965,전체
157,자메이카,2026,3632291,3451919,0.00165263,0.002037537,전체
158,보스니아 헤르체고비나,2026,3561144,12601405,0.001620259,0.007438133,전체
159,아루바,2026,3492987,198636,0.001589249,0.000117247,전체
160,뉴캘러도니아,2026,2642729,48198091,0.001202396,0.028449512,전체
161,마케도니아,2026,2574919,1221756,0.001171544,0.000721156,전체
162,몰디브,2026,2461379,9804,0.001119885,5.7869E-06,전체
163,벨리즈,2026,2437723,4621,0.001109122,2.7276E-06,전체
164,과들루프,2026,2383936,3351,0.00108465,0.000001978,전체
165,모리타니아,2026,2372309,2716857,0.00107936,0.001603658,전체
166,리히텐슈타인,2026,2304043,7906753,0.0010483,0.004667058,전체
167,솔로몬,2026,2154227,255177,0.000980136,0.000150621,전체
168,소말리아,2026,2109376,1043958,0.00095973,0.000616209,전체
169,바누아투,2026,2068877,4325080,0.000941303,0.002552931,전체
170,적도기니,2026,1999742,70848554,0.000909848,0.041819225,전체
171,퀴라소,2026,1901418,52722,0.000865112,3.11198E-05,전체
172,키리바시,2026,1886968,876036,0.000858538,0.000517091,전체
173,카이만제도,2026,1850433,97,0.000841915,5.73E-08,전체
174,바베이도스,2026,1724617,84016,0.000784671,4.95915E-05,전체
175,마크로네시아,2026,1720652,58171,0.000782867,3.43361E-05,전체
176,말라위,2026,1697551,5176439,0.000772356,0.003055456,전체
177,수리남,2026,1662955,1657128,0.000756616,0.00097814,전체
178,쿠바,2026,1661685,2278640,0.000756038,0.001344995,전체
179,부탄,2026,1564240,2917520,0.000711702,0.001722102,전체
180,시에라리온,2026,1486304,3088611,0.000676243,0.00182309,전체
181,차드,2026,1455380,151,0.000662173,8.91E-08,전체
182,신트마르턴(프),2026,1441051,0,0.000655653,0,전체
183,몬테네그로,2026,1417947,1573,0.000645141,9.285E-07,전체
184,감비아,2026,1226023,3334082,0.000557819,0.001967983,전체
185,프랑스령 기아나,2026,1183769,5579413,0.000538594,0.003293317,전체
186,모나코,2026,1058919,1217931,0.00048179,0.000718899,전체
187,부룬디,2026,1015413,140406,0.000461995,8.28764E-05,전체
188,나미비아,2026,937991,47103974,0.00042677,0.027803696,전체
189,마르티니끄,2026,933990,63,0.000424949,3.72E-08,전체
190,투발루,2026,866033,557444,0.00039403,0.000329038,전체
191,세인트루시아,2026,864983,52073,0.000393552,3.07367E-05,전체
192,말리,2026,833256,7238,0.000379117,4.2723E-06,전체
193,동티모르 민주공화국,2026,564733,177790,0.000256944,0.000104943,전체
194,팔라우,2026,547881,89781,0.000249276,5.29943E-05,전체
195,터크스케이커스제도,2026,521114,0,0.000237098,0,전체
196,신트마르턴(네),2026,505539,0,0.000230012,0,전체
197,마요트,2026,487941,0,0.000222005,0,전체
198,남수단,2026,388854,0,0.000176922,0,전체
199,지브롤터,2026,382281,1138,0.000173931,6.717E-07,전체
200,도미니카,2026,314033,217946,0.00014288,0.000128645,전체
201,"버진아일랜드,영",2026,278705,27,0.000126806,1.59E-08,전체
202,카보베르데,2026,251370,1,0.000114369,6E-10,전체
203,세인트빈센트,2026,201347,9534,9.16094E-05,5.6276E-06,전체
204,보네르 섬,2026,172249,0,7.83703E-05,0,전체
205,보츠와나,2026,166256,353510,7.56436E-05,0.000208664,전체
206,안도라,2026,154222,94214,7.01683E-05,0.000055611,전체
207,앤티가바부다,2026,123407,799,0.000056148,4.716E-07,전체
208,통가,2026,123188,31147,5.60484E-05,1.83849E-05,전체
209,세인트키츠앤네비스,2026,108067,43959,4.91686E-05,2.59473E-05,전체
210,기니비사우,2026,100054,0,4.55228E-05,0,전체
211,남극,2026,88902,995,4.04489E-05,5.873E-07,전체
212,앙귈라,2026,84780,1014,3.85734E-05,5.985E-07,전체
213,코모로,2026,58437,824,2.65878E-05,4.864E-07,전체
214,산마리노,2026,56840,300662,2.58612E-05,0.000177469,전체
215,,2026,50028,4089,2.27619E-05,2.4136E-06,전체
216,상투메 프린시페,2026,44867,0,2.04137E-05,0,전체
217,에스와티니,2026,37073,201190,1.68676E-05,0.000118755,전체
218,에리트레아,2026,25172,0,1.14528E-05,0,전체
219,"버진아일랜드,미",2026,24511,93037,1.11521E-05,5.49162E-05,전체
220,생바르텔레미,2026,18057,0,8.2156E-06,0,전체
221,그린란드,2026,18031,190679,8.2038E-06,0.000112551,전체
222,바티칸시,2026,8434,641,3.8373E-06,3.784E-07,전체
